10415.01000000,10439.00000000,10153.00000000,10342.06000000,311632094.25618850,1568332800,1568419199,30280.33977600,311632094.25618850,304947,16763.85466300,172561765.65306618,0,1568332800
10344.13000000,10419.99000000,10222.33000000,10335.02000000,244063007.09022474,1568419200,1568505599,23621.53351900,244063007.09022474,253929,13495.98669100,139491411.26572924,0,1568419200
10332.81000000,10360.00000000,10252.15000000,10302.01000000,185853330.43704256,1568505600,1568591999,18047.65401300,185853330.43704256,194733,8221.80305500,84690636.88555922,0,1568505600
10303.34000000,10355.00000000,10078.00000000,10251.31000000,296325130.17090132,1568592000,1568678399,28971.40165700,296325130.17090132,274368,13385.30225300,137008707.88664533,0,1568592000
10249.68000000,10275.00000000,10128.01000000,10187.82000000,233944812.56050799,1568678400,1568764799,22914.32456300,233944812.56050799,287483,11195.43067300,114314296.20572508,0,1568678400
10187.48000000,10258.02000000,10100.00000000,10156.99000000,247024351.59799171,1568764800,1568851199,24250.24930300,247024351.59799171,299466,11753.10911100,119777298.85924058,0,1568764800
10156.41000000,10325.00000000,9653.00000000,10244.29000000,447676492.98402635,1568851200,1568937599,44826.28257900,447676492.98402635,429727,22623.28776300,226404409.68236710,0,1568851200
10243.70000000,10281.00000000,10061.39000000,10168.59000000,255205290.21183727,1568937600,1569023999,25088.49106900,255205290.21183727,267032,12054.38488800,122687240.60518866,0,1568937600
10167.92000000,10176.70000000,9900.00000000,9986.39000000,206034034.50803514,1569024000,1569110399,20544.17519600,206034034.50803514,245439,9285.85147900,93152981.29234466,0,1569024000
9985.15000000,10089.00000000,9853.97000000,10028.87000000,220133631.61284170,1569110400,1569196799,22049.27525600,220133631.61284170,253713,11200.61192100,111864717.13240463,0,1569110400
10028.05000000,10049.99000000,9615.77000000,9702.25000000,314390584.62646132,1569196800,1569283199,31937.23235600,314390584.62646132,332817,14940.11249600,147108768.54457945,0,1569196800
9702.20000000,9794.99000000,7800.00000000,8493.14000000,838996309.16112820,1569283200,1569369599,94007.34520300,838996309.16112820,748712,42986.25312700,383608082.56863165,0,1569283200
8497.55000000,8730.00000000,8215.64000000,8430.05000000,512437200.36110440,1569369600,1569455999,60783.89225800,512437200.36110440,544806,30489.47199400,257118054.54903361,0,1569369600
8430.05000000,8465.99000000,7750.00000000,8063.73000000,552794530.86668199,1569456000,1569542399,67930.85374900,552794530.86668199,522062,33363.51365000,271728779.69954551,0,1569456000
8063.49000000,8265.00000000,7852.15000000,8177.91000000,352800745.20792857,1569542400,1569628799,43882.92462500,352800745.20792857,369518,23224.86113500,186790633.03646185,0,1569542400
8177.47000000,8315.00000000,8001.09000000,8198.81000000,280672404.68049548,1569628800,1569715199,34473.60516500,280672404.68049548,319113,18215.03986300,148326185.32000544,0,1569628800
8199.38000000,8229.13000000,7890.00000000,8043.82000000,253660600.32529288,1569715200,1569801599,31544.21138800,253660600.32529288,322501,15507.40078100,124764250.17575432,0,1569715200
8043.04000000,8337.26000000,7710.00000000,8289.34000000,449120676.84276034,1569801600,1569887999,55865.48726000,449120676.84276034,455556,29052.01095100,233783108.23169308,0,1569801600
8289.97000000,8500.00000000,8173.05000000,8292.44000000,362980689.87999125,1569888000,1569974399,43472.41809100,362980689.87999125,387653,22518.98439500,188065394.22718111,0,1569888000
8292.67000000,8373.91000000,8151.22000000,8359.94000000,216325351.85864461,1569974400,1570060799,26243.38664400,216325351.85864461,261430,13652.36085000,112568257.13363141,0,1569974400
8360.00000000,8393.00000000,8060.00000000,8223.96000000,250291751.27141390,1570060800,1570147199,30488.28405800,250291751.27141390,281307,15321.40753500,125826457.09252053,0,1570060800
8224.43000000,8232.41000000,8005.00000000,8137.13000000,215325611.68221507,1570147200,1570233599,26476.33040400,215325611.68221507,259012,13236.81025500,107708233.74574784,0,1570147200
8137.09000000,8183.41000000,8012.98000000,8126.19000000,177252877.00296909,1570233600,1570319999,21907.61556400,177252877.00296909,237769,10620.06982200,85943843.84390094,0,1570233600
8127.55000000,8153.87000000,7785.00000000,7854.25000000,275447898.03287501,1570320000,1570406399,34676.10404900,275447898.03287501,325795,16437.31014100,130619830.63356862,0,1570320000
7855.30000000,8299.92000000,7762.00000000,8190.09000000,420921679.84426315,1570406400,1570492799,52202.07229700,420921679.84426315,482605,28088.64970400,226592301.64382157,0,1570406400
8190.82000000,8325.00000000,8088.75000000,8168.39000000,290675248.14144530,1570492800,1570579199,35452.65742300,290675248.14144530,395685,16893.73714000,138551354.17557934,0,1570492800
8170.79000000,8670.00000000,8115.00000000,8560.74000000,462845251.81361025,1570579200,1570665599,55038.70437800,462845251.81361025,537805,29211.87169000,245678414.82929021,0,1570579200
8562.15000000,8644.00000000,8414.52000000,8558.03000000,333925412.30414180,1570665600,1570751999,39137.94616700,333925412.30414180,406932,20587.71397100,175682847.81235146,0,1570665600
8557.82000000,8779.51000000,8212.38000000,8258.50000000,424413201.53293220,1570752000,1570838399,50405.28441800,424413201.53293220,471818,24618.01713500,207347909.97597683,0,1570752000
8257.95000000,8400.00000000,8250.00000000,8300.09000000,177707852.59481888,1570838400,1570924799,21339.33409800,177707852.59481888,280633,11644.42954400,96979920.39843419,0,1570838400
8301.98000000,8451.37000000,8160.00000000,8275.01000000,232149438.36395869,1570924800,1571011199,27840.73995300,232149438.36395869,320051,14035.91465400,117101482.90464429,0,1570924800
8275.24000000,8388.85000000,8203.00000000,8348.20000000,247530733.18003484,1571011200,1571097599,29810.66325300,247530733.18003484,345679,15273.00375500,126831374.41473168,0,1571011200
8346.86000000,8403.00000000,8090.00000000,8159.29000000,270727559.77701092,1571097600,1571183999,32773.06247600,270727559.77701092,399447,16822.94001500,139031758.65565604,0,1571097600
8159.30000000,8181.16000000,7917.00000000,7991.74000000,279586845.53621386,1571184000,1571270399,34733.59396600,279586845.53621386,421026,17198.82797600,138510455.77691367,0,1571184000
7995.02000000,8124.92000000,7929.03000000,8070.58000000,238343204.48251529,1571270400,1571356799,29656.94915800,238343204.48251529,356490,15922.04605800,127960055.04589145,0,1571270400
8070.71000000,8115.00000000,7816.01000000,7947.01000000,248931322.10085052,1571356800,1571443199,31353.18141600,248931322.10085052,399783,15692.63445000,124639536.56963075,0,1571356800
7946.89000000,8098.10000000,7866.92000000,7948.01000000,211909734.13572005,1571443200,1571529599,26627.88938800,211909734.13572005,349746,13886.83824400,110541248.17503742,0,1571443200
7949.87000000,8297.00000000,7870.00000000,8223.35000000,275899861.65387123,1571529600,1571615999,34286.45265400,275899861.65387123,396091,18042.42367700,145235373.21216156,0,1571529600
8223.35000000,8333.00000000,8142.03000000,8197.27000000,250117281.63661337,1571616000,1571702399,30448.67953900,250117281.63661337,367169,16584.00038400,136247602.03863662,0,1571616000
8197.28000000,8297.99000000,8000.00000000,8020.00000000,283535483.41051363,1571702400,1571788799,34651.82866300,283535483.41051363,384699,16767.03682400,137253195.95826291,0,1571702400
8020.06000000,8047.59000000,7300.00000000,7466.62000000,488220760.64641560,1571788800,1571875199,63897.45709800,488220760.64641560,610241,28473.73030200,217502083.43670305,0,1571788800
7468.47000000,7503.68000000,7337.99000000,7412.41000000,243246414.94892389,1571875200,1571961599,32714.38326500,243246414.94892389,403778,16705.37635500,124225722.47547963,0,1571875200
